ORDER,FAMILY,SCIENTIFIC NAME,COMMON NAME,FRENCH NAME,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Semotilus atromaculatus,creek chub,mulet à cornes,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Semotilus corporalis,fallfish,ouitouche,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Rhinicthys sp.,Nooksack Dace,,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Erimystax x-punctatus,gravel chub,gravelier,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Nocomis biguttatus,hornyhead chub,tête à taches rouges,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CYPRINIDAE,Nocomis micropogon,river chub,méné baton,,,,,,,,,,,,,,,,,,,,,,
CYPRINODONTIFORMES,CYPRINODONTIDAE,Fundulus diaphanus,banded killifish,fondule barré,,,,,,,,,,,,,,,,,,,,,,
CYPRINODONTIFORMES,CYPRINODONTIDAE,Fundulus notatus,blackstripe topminnow,fondule rayé,,,,,,,,,,,,,,,,,,,,,,
CYPRINODONTIFORMES,CYPRINODONTIDAE,Fundulus heteroclitus,mummichog,choquemort,,,,,,,,,,,,,,,,,,,,,,
ESOCIFORMES,ESOCIDAE,Esox americanus americanus,redfin pickerel,brochet d'Amérique,,,,,,,,,,,,,,,,,,,,,,
ESOCIFORMES,ESOCIDAE,Esox americanus vermiculatus,grass pickerel,brochet vermiculé,,,,,,,,,,,,,,,,,,,,,,
ESOCIFORMES,ESOCIDAE,Esox lucius,northern pike,grand brochet,,,,,,,,,,,,,,,,,,,,,,
ESOCIFORMES,ESOCIDAE,Esox masquinongy,muskellunge,maskinongé,,,,,,,,,,,,,,,,,,,,,,
ESOCIFORMES,ESOCIDAE,Esox niger,chain pickerel,brochet maillé,,,,,,,,,,,,,,,,,,,,,,
ESOCIFORMES,ESOCIDAE,Umbra limi,central mudminnow,umbre de vase,,,,,,,,,,,,,,,,,,,,,,
GADIFORMES,GADIDAE,Lota lota,burbot,lotte,,,,,,,,,,,,,,,,,,,,,,
GADIFORMES,GADIDAE,Microgadus tomcod,Atlantic tomcod,poulamon atlantique,,,,,,,,,,,,,,,,,,,,,,
GASTEROSTEIFORMES,GASTEROSTEIDAE,Culaea inconstans,brook stickleback,épinoche à cinq épines,,,,,,,,,,,,,,,,,,,,,,
GASTEROSTEIFORMES,GASTEROSTEIDAE,Gasterosteus wheatlandi,blackspotted stickleback,épinoche tachetée,,,,,,,,,,,,,,,,,,,,,,
GASTEROSTEIFORMES,GASTEROSTEIDAE,Pungitius pungitius,ninespine stickleback,épinoche à neuf épines,,,,,,,,,,,,,,,,,,,,,,
GASTEROSTEIFORMES,GASTEROSTEIDAE,Apeltes quadracus,fourspine stickleback,épinoche à quatre épines,,,,,,,,,,,,,,,,,,,,,,
GASTEROSTEIFORMES,GASTEROSTEIDAE,Gasterosteus aculeatus,threespine stickleback,épinoche à trois épines,,,,,,,,,,,,,,,,,,,,,,
GOBIIFORMES,GOBIIDAE,Neogobius melanostomus,round goby,gobie à taches noires,,,,,,,,,,,,,,,,,,,,,,
GOBIIFORMES,GOBIIDAE,Proterorhinus semilunaris,tubenose goby,gobie à nez tubulaire,,,,,,,,,,,,,,,,,,,,,,
HIODONTIFORMES,HIODONTIDAE,Hiodon alosoides,goldeye,laquaiche aux yeux d'or,,,,,,,,,,,,,,,,,,,,,,
HIODONTIFORMES,HIODONTIDAE,Hiodon tergisus,mooneye,laquaiche argentée,,,,,,,,,,,,,,,,,,,,,,
LEPISOSTEIFORMES,LEPISOSTEIDAE,Lepisosteus oculatus,spotted gar,lépisosté tacheté,,,,,,,,,,,,,,,,,,,,,,
LEPISOSTEIFORMES,LEPISOSTEIDAE,Lepisosteus osseus,longnose gar,lépisosté osseux,,,,,,,,,,,,,,,,,,,,,,
OSMERIFORMES,OSMERIDAE,Osmerus mordax,rainbow smelt,éperlan arc-en-ciel,,,,,,,,,,,,,,,,,,,,,,
OSMERIFORMES,OSMERIDAE,Thaleichthys pacificus,eulachon,eulalane,,,,,,,,,,,,,,,,,,,,,,
OSMERIFORMES,OSMERIDAE,Spirinchus thaleichthys,longfin smelt,éperlan d'hiver,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,CENTRARCHIDAE,Ambloplites rupestris,rock bass,crapet de roche,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,CENTRARCHIDAE,Lepomis cyanellus,green sunfish,crapet vert,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,CENTRARCHIDAE,Lepomis gulosus,warmouth,crapet sac-à-lait,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,CENTRARCHIDAE,Lepomis macrochirus,bluegill,crapet arlequin,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,CENTRARCHIDAE,Lepomis peltastes,northern sunfish,crapet du nord,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,CENTRARCHIDAE,Pomoxis annularis,white crappie,marigane blanche,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,CENTRARCHIDAE,Lepomis auritus,redbreast sunfish,crapet rouge,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,CENTRARCHIDAE,Lepomis gibbosus,pumpkinseed,crapet-soleil,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,CENTRARCHIDAE,Micropterus dolomieu,smallmouth bass,achigan à petite bouche,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,CENTRARCHIDAE,Micropterus salmoides,largemouth bass,achigan à grande bouche,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,CENTRARCHIDAE,Pomoxis nigromaculatus,black crappie,marigane noire,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,PERCICHTHYIDAE,Morone chrysops,white bass,bar blanc,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,PERCICHTHYIDAE,Morone americana,white perch,baret,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,PERCICHTHYIDAE,Morone saxatilis,striped bass,bar rayé,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,PERCIDAE,Ammocrypta pellucida,eastern sand darter,dard de sable,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,PERCIDAE,Etheostoma caeruleum,rainbow darter,dard arc-en-ciel,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,PERCIDAE,Etheostoma exile,Iowa darter,dard à ventre jaune,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,PERCIDAE,Etheostoma flabellare,fantail darter,dard barré,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,PERCIDAE,Etheostoma microperca,least darter,petit dard,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,PERCIDAE,Etheostoma nigrum,johnny darter,raseux-de-terre noir,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,PERCIDAE,Etheostoma olmstedi,tessellated darter,raseux-de-terre gris,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,PERCIDAE,Perca flavescens,yellow perch,perchaude,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,PERCIDAE,Percina caprodes,logperch,fouille-roche zébré,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,PERCIDAE,Percina copelandi,channel darter,fouille-roche gris,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,PERCIDAE,Percina maculata,blackside darter,dard noir,,,,,,,,,,,,,,,,,,,,,,
